absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
359.94,-7.19,103.06,0.06,0.25,0.06,0.04,0.02,0.0,0.0447213595499957,0.2640075756488817,0.4636476090008061,-1.5707963267948966,2.0,3.0,0.5,3.640054944640259
359.94,-7.19,103.06,0.06,-0.13,-0.13,0.03,0.01,-0.02,0.0374165738677394,0.1933907960581371,0.2705497629785729,-2.1587989303424644,-0.5000000000000001,-0.5,-1.0,1.224744871391589
359.94,-7.19,103.06,-0.19,-0.56,-0.06,0.04,0.02,-0.03,0.053851648071345,0.5943904440685432,0.3805063771123649,-2.214297435588181,0.5000000000000001,0.5,-0.4999999999999999,0.8660254037844386
359.94,-7.19,103.06,-0.13,-0.25,0.0,-0.01,0.0,-0.04,0.0412310562561766,0.2817800560721074,0.0,2.896613990462929,-2.5,-1.0,-0.5000000000000001,2.7386127875258306
359.87,-7.37,102.87,0.0,0.06,-0.06,0.0,-0.04,0.08,0.0894427190999915,0.0848528137423857,-0.4636476090008061,-0.0,0.5,-2.0,6.0,6.34428877022476
359.87,-7.37,102.87,-0.06,-0.25,-0.25,0.0,-0.06,0.05,0.0781024967590665,0.3586084215408221,-0.8760580505981934,-0.0,0.0,-0.9999999999999998,-1.5,1.8027756377319943
359.87,-7.37,102.87,-0.13,-0.62,-0.31,0.0,0.0,0.05,0.05,0.7052659073002183,0.0,-0.0,0.0,3.0,0.0,3.0
359.87,-7.37,102.87,0.13,-0.19,-0.13,-0.01,-0.03,-0.01,0.033166247903554,0.2643860813280457,-1.130285663790198,2.356194490192345,-0.5,-1.5,-3.0,3.391164991562634
359.87,-7.37,102.87,-0.06,-0.19,-0.13,0.0,-0.02,-0.02,0.0282842712474619,0.2379075450674063,-0.7853981633974483,-3.141592653589793,0.5,0.4999999999999999,-0.5,0.8660254037844386
359.87,-7.37,102.87,0.06,-0.06,-0.06,-0.01,0.03,-0.08,0.0860232526704262,0.1039230484541326,0.3562294761518725,3.017237659043032,-0.5,2.5,-3.0,3.9370039370059056
359.87,-7.37,102.87,-0.19,-0.19,-0.13,0.0,-0.05,-0.03,0.058309518948453,0.298496231131986,-1.0303768265243125,-3.141592653589793,0.5,-4.0,2.5,4.743416490252569
359.87,-7.37,102.87,-0.25,-0.25,-0.06,0.02,-0.02,-0.01,0.03,0.3586084215408221,-0.7297276562269663,-2.0344439357957027,1.0,1.5,0.9999999999999998,2.0615528128088303
359.87,-7.37,102.87,-0.13,-0.25,-0.13,0.04,-0.02,0.01,0.0458257569495584,0.310322412983658,-0.4516334410795318,-1.3258176636680326,1.0,0.0,1.0,1.4142135623730951
359.87,-7.37,102.87,-0.37,-0.06,0.0,-0.03,-0.05,-0.03,0.06557438524302,0.3748332962798262,-0.8671573754901614,2.356194490192345,-3.5000000000000004,-1.5,-2.0,4.301162633521314
359.87,-7.37,102.87,-0.13,0.13,-0.13,-0.02,-0.02,0.02,0.0346410161513775,0.225166604983954,-0.6154797086703874,0.7853981633974483,0.4999999999999999,1.5,2.5,2.958039891549808
359.87,-7.37,102.87,-0.19,0.13,-0.06,0.0,-0.02,0.03,0.0360555127546398,0.2379075450674063,-0.5880026035475676,-0.0,1.0,0.0,0.4999999999999999,1.118033988749895
354.75,-3.06,37.63,170.06,-27.44,15.06,0.03,-0.82,0.08,0.8244392033376384,172.916629622486,-1.466975791397098,-0.3587706702705722,1.5,-39.99999999999999,2.5,40.106109260310944
353.69,-2.37,29.75,150.94,-28.25,24.19,0.91,-1.39,1.93,2.546585949855217,155.45450202551228,-0.5773779617816194,-0.4405908989644074,44.0,-28.5,92.5,106.32262224004825
352.19,-1.75,22.5,139.5,-21.87,30.19,1.59,1.3,0.82,2.2114474897677314,144.39523191573883,0.6283988971623201,-1.094649368774729,34.0,134.5,-55.49999999999999,149.42054744913767
350.75,-1.25,15.56,149.87,-16.37,22.37,1.73,2.62,1.33,3.409721396243394,152.4119768915816,0.8763235558419977,-0.9153801082018592,6.999999999999995,66.0,25.500000000000007,71.10028129339574
349.69,-0.75,7.75,183.75,-13.5,20.06,0.61,3.05,0.0,3.1104019032915984,185.3340662155773,1.373400766945016,-1.5707963267948966,-56.00000000000001,21.499999999999982,-66.5,89.55724426309689
348.62,-0.13,-2.0,227.62,-16.44,26.19,1.14,3.1,1.29,3.5459413418724237,229.7108053618724,1.0638660040655874,-0.7237479927581892,26.5,2.5000000000000133,64.5,69.77642868476431
347.44,0.31,-11.88,41.75,22.62,13.81,9.87,-3.42,7.7,12.977029706369636,49.45142060649017,-0.2666927873694786,-0.9082818495404572,436.5,-326.0,320.5,632.0826686439045
346.5,0.19,-13.88,-25.25,20.25,5.25,0.49,0.31,3.03,3.0849797406141906,32.79005184503373,0.1006567696104281,-0.1603281469982629,-469.0,186.5,-233.5,556.1164446408683
346.5,-0.31,-13.06,-10.13,3.44,-6.12,1.29,-1.52,-3.23,3.795708102581124,12.324970588200202,-0.4120103875577734,-2.7616201792563837,40.0,-91.5,-313.0,328.5441370653264
346.94,-0.37,-12.13,-17.06,-9.75,-7.75,-3.33,0.01,-2.71,4.29337862294953,21.122703425461427,0.0023291700825719,2.253903752592767,-231.0,76.5,26.0,244.7228023703553
347.19,0.06,-11.56,0.56,-11.69,2.12,-1.59,0.59,-0.6,1.798944134763501,11.893868168094013,0.3341540859441868,1.9316331098279875,87.0,29.0,105.5,139.78644426409878
346.12,1.37,-15.69,0.0,-0.06,0.0,0.04,-0.03,-0.08,0.094339811320566,0.06,-0.3236185653039863,-2.677945044588987,81.5,-31.0,26.0,90.990384107333
346.12,1.37,-15.69,0.0,-0.13,0.0,0.05,-0.02,-0.06,0.0806225774829855,0.13,-0.2506869231230345,-2.44685437739309,0.5000000000000001,0.4999999999999999,1.0000000000000002,1.2247448713915892
346.12,1.37,-15.69,0.0,0.0,0.0,0.06,0.01,-0.04,0.0728010988928051,0.0,0.137796224645885,-2.1587989303424644,0.4999999999999997,1.5,0.9999999999999998,1.8708286933869704
346.12,1.37,-15.69,0.13,0.13,-0.06,0.04,0.0,-0.01,0.0412310562561766,0.1933907960581371,0.0,-1.8157749899217608,-0.9999999999999998,-0.5,1.5,1.8708286933869709
346.12,1.37,-15.69,0.19,-0.06,-0.13,0.03,-0.08,-0.06,0.1044030650891055,0.2379075450674063,-0.873001640217571,-2.677945044588987,-0.5000000000000001,-4.0,-2.5,4.743416490252569
346.12,1.37,-15.69,0.06,-0.06,0.06,0.05,-0.04,-0.04,0.0754983443527075,0.1039230484541326,-0.5583799936411862,-2.2455372690184494,1.0000000000000002,2.0,0.9999999999999998,2.449489742783178
346.12,1.37,-15.69,-0.19,-0.06,0.06,0.04,-0.02,-0.03,0.053851648071345,0.2080865204668481,-0.3805063771123649,-2.214297435588181,-0.5000000000000001,1.0,0.5000000000000001,1.224744871391589
346.12,1.37,-15.69,-0.13,0.06,0.13,0.07,0.0,-0.05,0.0860232526704262,0.1933907960581371,0.0,-2.191045812777718,1.5000000000000002,1.0,-1.0000000000000002,2.0615528128088307
346.12,1.37,-15.69,0.06,-0.19,-0.06,0.06,0.01,0.0,0.0608276253029822,0.2080865204668481,0.1651486774146268,-1.5707963267948966,-0.5000000000000004,0.5,2.5,2.598076211353316
346.12,1.37,-15.69,0.0,0.37,-0.19,0.05,-0.03,-0.07,0.091104335791443,0.4159326868617084,-0.3355544842714666,-2.521343167606972,-0.4999999999999997,-2.0,-3.5000000000000004,4.06201920231798
346.12,1.37,-15.69,0.0,0.0,0.13,0.04,-0.06,-0.07,0.1004987562112089,0.13,-0.6397841737385244,-2.62244653934327,-0.5000000000000001,-1.5,0.0,1.5811388300841898
346.12,1.37,-15.69,0.06,-0.06,0.13,0.03,-0.02,-0.06,0.0699999999999999,0.1552417469626002,-0.2897517014360474,-2.677945044588987,-0.5000000000000001,2.0,0.5000000000000004,2.121320343559642
346.12,1.37,-15.69,-0.25,0.06,0.13,0.07,0.0,0.0,0.07,0.2880972058177586,0.0,-1.5707963267948966,2.0000000000000004,1.0,3.0,3.7416573867739418
346.12,1.37,-15.69,0.0,0.0,-0.06,0.05,0.02,0.0,0.053851648071345,0.06,0.3805063771123649,-1.5707963267948966,-1.0000000000000002,1.0,0.0,1.4142135623730951
346.12,1.37,-15.69,0.25,-0.06,-0.06,0.04,-0.03,-0.04,0.0640312423743284,0.2640075756488817,-0.487616242715106,-2.356194490192345,-0.5000000000000001,-2.5,-2.0,3.24037034920393
346.12,1.37,-15.69,0.19,0.06,0.0,0.05,-0.05,-0.08,0.1067707825203131,0.1992485884517127,-0.4873577519641762,-2.5829933382462307,0.5000000000000001,-1.0000000000000002,-2.0,2.29128784747792
346.12,1.37,-15.69,0.06,0.13,-0.06,0.04,-0.03,-0.07,0.0860232526704262,0.1552417469626002,-0.3562294761518725,-2.62244653934327,-0.5000000000000001,1.0000000000000002,0.4999999999999997,1.2247448713915892
346.12,1.37,-15.69,0.06,-0.06,0.06,0.05,-0.01,-0.01,0.0519615242270663,0.1039230484541326,-0.1936583004443266,-1.7681918866447774,0.5000000000000001,0.9999999999999998,3.0,3.2015621187164243
346.12,1.37,-15.69,-0.06,0.06,-0.06,0.05,0.01,-0.01,0.0519615242270663,0.1039230484541326,0.1936583004443266,-1.7681918866447774,0.0,1.0,0.0,1.0
346.12,1.37,-15.69,0.19,0.06,0.0,0.05,0.0,-0.03,0.058309518948453,0.1992485884517127,0.0,-2.1112158270654806,0.0,-0.5,-0.9999999999999998,1.118033988749895
346.12,1.37,-15.69,0.06,-0.19,-0.13,0.05,-0.05,-0.04,0.0812403840463596,0.2379075450674063,-0.6629662362946377,-2.2455372690184494,0.0,-2.5,-0.5000000000000001,2.549509756796392
346.12,1.37,-15.69,0.13,0.19,0.0,0.03,-0.06,-0.03,0.0734846922834953,0.2302172886644267,-0.9553166181245092,-2.356194490192345,-1.0000000000000002,-0.4999999999999997,0.5000000000000001,1.2247448713915892
