temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
0.0,0.0,0.0,0.0,359.75,-6.62,92.31,0.06,-0.19,0.0,0.12,0.24,1.45,1.4746185947559458,0.1992485884517127,0.1634811790923909,-0.082570455694717,11.499999999999998,6.999999999999999,14.500000000000002,19.78635893740938,0
0.0,0.0,0.0,0.0,359.87,-6.5,91.56,0.19,1.06,0.25,0.21,0.31,1.02,1.0865541864076544,1.105531546361297,0.2893252713260407,-0.2030452172534651,4.5,3.5000000000000004,-21.5,22.24297641953522,0
0.0,0.0,0.0,0.0,359.94,-6.5,91.56,-0.25,1.31,-0.13,-0.37,0.18,0.82,0.9174420962654808,1.3399626860476377,0.1974787082806437,0.4238676105297793,-29.0,-6.5,-10.000000000000004,31.356817440550305,0
0.0,0.0,0.0,0.0,0.0,-6.5,91.56,0.06,2.25,0.31,0.05,0.06,0.76,0.7640026177965623,2.2720475347140074,0.0786147140394043,-0.0656948015524647,21.0,-6.0,-2.999999999999997,22.0454076850486,0
0.0,0.0,0.0,0.0,0.13,-6.5,91.62,-0.5,1.5,0.13,-0.02,0.13,1.13,1.1376291135515124,1.5864740779476985,0.114522917006739,0.0176972672577703,-3.5000000000000004,3.5000000000000004,18.499999999999996,19.15071800220555,0
0.0,0.0,0.0,0.0,0.19,-6.5,91.62,-0.69,2.06,0.37,-0.09,0.19,2.02,2.030911125578862,2.2037694979284925,0.0936910793972385,0.0445250088345241,-3.5,3.0,44.50000000000001,44.73812691653508,0
0.0,0.0,0.0,0.0,0.31,-6.5,91.62,0.75,3.56,0.56,0.39,-0.23,1.76,1.817305698004604,3.68099171419877,-0.1269013132270343,-0.2180672612293419,24.0,-21.0,-13.0,34.438350715445125,0
0.0,0.0,0.0,0.0,0.5,-6.5,91.62,1.19,4.56,0.81,0.52,0.17,4.47,4.503354305403917,4.78181973729667,0.0377586106668557,-0.1158105497879079,6.5,20.0,135.5,137.12220826693246,0
0.0,0.0,0.0,0.0,0.69,-6.5,91.62,-1.75,4.0,0.25,-0.49,0.1,2.61,2.657480009332149,4.373213921133975,0.0376385201475313,0.1855792708335767,-50.5,-3.5000000000000004,-93.0,105.88437089580312,0
0.0,0.0,0.0,0.0,0.88,-6.5,91.69,-2.44,3.75,-0.13,0.78,2.25,-0.48,2.429259146324245,4.475823946492981,1.1842280340983358,-2.122451309323444,63.5,107.5,-154.5,198.64226639866956,0
0.0,0.0,0.0,0.0,1.0,-6.5,91.69,8.31,0.44,1.56,-0.36,-1.62,-0.42,1.7118411141224528,8.466599081095078,-1.241745561833017,2.432966381462123,-57.00000000000001,-193.5,3.0,201.74302961936505,0
0.0,0.0,0.0,0.0,185.31,20.56,168.37,-1.81,6.87,-8.31,0.31,-1.44,0.46,1.5431461369552786,10.932936476537307,-1.2031017462592828,-0.5930025618815259,33.49999999999999,9.000000000000007,44.0,56.029010342857205,0
0.0,0.0,0.0,0.0,184.87,20.87,168.69,-4.81,4.81,-9.25,0.37,-0.57,0.28,0.7349829930005184,11.481929280395349,-0.8875512536304873,-0.9229848998677982,3.0,43.5,-9.0,44.52246623896749,0
0.0,0.0,0.0,0.0,184.62,21.19,169.12,-7.0,5.56,-5.87,0.24,0.07,0.45,0.51478150704935,10.694414429972312,0.1364026044009474,-0.4899573262537283,-6.5,31.999999999999996,8.499999999999998,33.74166563760597,0
0.0,0.0,0.0,0.0,184.5,21.56,169.56,-7.75,6.44,-3.44,0.15,0.48,-0.23,0.5529918625079396,10.647520838204544,1.0511715098047218,-2.563690716627548,-4.5,20.5,-34.0,39.956226048014095,0
0.0,0.0,0.0,0.0,184.44,21.87,169.87,-3.44,5.81,-3.87,0.61,1.3,-1.14,1.8334939323597448,7.782454625630656,0.7881200140063152,-2.6502704510225468,23.0,41.0,-45.49999999999999,65.42361958803563,0
0.0,0.0,0.0,0.0,184.37,22.12,169.94,2.0,5.0,0.62,1.26,1.02,-0.06,1.622220700151493,5.420737957141998,0.6799674494131108,-1.61837943007188,32.5,-14.000000000000002,53.99999999999999,64.56198571915209,0
0.0,0.0,0.0,0.0,184.5,22.31,169.75,2.56,3.87,5.94,0.78,0.0,0.2,0.8052328855678959,7.537512852393687,0.0,-1.319793640151862,-24.0,-51.0,13.0,57.84461945591829,0
0.0,0.0,0.0,0.0,184.75,22.44,169.5,3.0,2.94,5.12,0.02,0.01,-0.18,0.1813835714721705,6.622537278113277,0.0551597518808887,-3.0309354324158977,-38.0,0.5,-19.0,42.48823366533375,0
0.0,0.0,0.0,0.0,184.94,22.5,169.19,4.69,2.06,3.12,0.06,0.39,-0.01,0.394715087119811,5.997841278326729,1.4160746124231554,-1.7359450042095237,2.0,19.0,8.499999999999998,20.910523666326483,0
0.0,0.0,0.0,0.0,185.06,22.62,168.94,4.75,2.44,3.94,0.21,-0.04,0.28,0.3522782990761707,6.63624140609728,-0.113792007143708,-0.6435011087932844,7.5,-21.5,14.500000000000002,26.995369973386172,0
0.0,0.0,0.0,0.0,185.25,22.69,168.62,2.94,3.12,6.12,0.26,-0.36,0.23,0.5000999900019995,7.4721081362624835,-0.8035949029280015,-0.8465463260467495,2.500000000000001,-16.0,-2.500000000000001,16.38596960817394,0
0.0,0.0,0.0,0.0,185.62,22.87,168.31,1.37,3.5,8.06,0.42,-0.17,0.3,0.543415126767741,8.893283982871571,-0.3181777985586368,-0.9505468408120752,7.999999999999998,9.499999999999998,3.4999999999999987,12.903487900563938,0
0.0,0.0,0.0,0.0,9.13,-5.94,90.12,57.63,4.06,0.69,-0.25,0.12,1.77,1.7915914712902603,57.776955613808525,0.0670297379536296,0.1403147774436161,-33.49999999999999,14.500000000000002,73.5,82.06552260236938,0
0.0,0.0,0.0,0.0,9.88,-5.75,87.37,52.81,5.87,-7.56,0.1,-0.01,1.77,1.7728508115461945,53.6703512192719,-0.005640662464954,-0.0564371783117033,17.5,-6.5,0.0,18.66815470259447,0
0.0,0.0,0.0,0.0,10.75,-5.56,84.94,49.44,10.69,-3.19,-0.03,-0.58,1.29,1.414708450529649,50.68299320284863,-0.422430452385246,0.0232516228104629,-6.5,-28.5,-24.0,37.82195129815488,0
0.0,0.0,0.0,0.0,11.69,-5.31,82.31,47.56,11.13,-4.06,-0.07,0.31,1.06,1.1066164647247936,49.01340734941819,0.283932851251134,0.0659419897812702,-2.0000000000000004,44.49999999999999,-11.499999999999998,46.005434461593765,0
0.0,0.0,0.0,0.0,12.44,-5.31,80.25,40.69,11.94,-2.94,0.08,0.01,0.71,0.7145628033979938,42.50744993527605,0.0139950280011575,-0.1122028149972544,7.500000000000001,-15.0,-17.500000000000004,24.23839928708165,0
0.0,0.0,0.0,0.0,12.94,-5.69,78.44,33.13,18.44,10.38,-0.37,-0.97,0.65,1.2248673397556162,39.31125665760381,-0.9139510239089794,0.5174877409741085,-22.5,-49.0,-2.999999999999997,54.00231476520243,0
0.0,0.0,0.0,0.0,13.13,-6.69,77.19,28.87,27.06,21.37,1.28,-0.76,4.01,4.277394066484873,44.97107292471461,-0.1786266824140412,-0.3089788972438758,82.5,10.499999999999998,168.0,187.457995294946,0
