temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2]
0.0,0.0,0.0,0.0,5.81,-4.56,56.75,0.06,-0.06,-0.06,-0.11,-0.2,-0.8
0.0,0.0,0.0,0.0,5.81,-4.56,56.75,-0.56,-0.69,0.06,-0.17,-0.11,-0.55
0.0,0.0,0.0,0.0,5.81,-4.56,56.75,-0.37,-0.62,0.25,-0.06,-0.2,-0.42
0.0,0.0,0.0,0.0,5.75,-4.56,56.81,-0.56,-0.75,0.44,0.25,0.37,0.06
0.0,0.0,0.0,0.0,5.75,-4.5,56.81,-0.44,-0.25,0.25,0.0,0.53,0.19
0.0,0.0,0.0,0.0,5.69,-4.5,56.69,-0.62,-2.19,1.56,0.24,0.22,0.06
0.0,0.0,0.0,0.0,5.62,-4.5,56.69,0.19,0.81,-0.5,-0.71,-0.32,-0.46
0.0,0.0,0.0,0.0,5.75,-4.5,56.69,-0.5,2.31,-1.44,0.64,0.1,-0.27
0.0,0.0,0.0,0.0,5.87,-4.5,56.69,0.25,1.37,-1.37,-0.57,-0.21,-0.62
0.0,0.0,0.0,0.0,6.0,-4.5,56.75,-0.69,3.12,-2.0,0.22,-0.18,-0.44
0.0,0.0,0.0,0.0,6.19,-4.5,56.81,-1.12,2.5,-1.19,0.02,0.6,0.53
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,-0.06,-0.06,0.19,-0.04,0.08,-0.11
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,0.0,-0.13,0.0,-0.02,0.08,-0.08
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,0.0,-0.19,0.0,-0.02,0.1,-0.14
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,-0.13,-0.25,-0.06,-0.01,0.1,-0.08
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,-0.19,-0.13,0.0,-0.02,0.11,-0.06
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,0.06,0.0,-0.06,-0.01,0.12,-0.1
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,0.06,-0.13,-0.13,-0.03,0.07,-0.09
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,0.06,0.13,0.0,-0.03,0.07,-0.1
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,-0.06,0.13,0.0,-0.03,0.05,-0.13
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,-0.06,-0.06,-0.13,-0.04,0.1,-0.13
0.0,0.0,0.0,0.0,5.0,-4.75,57.44,0.06,-0.06,0.0,-0.02,0.1,-0.1
0.0,0.0,0.0,0.0,4.62,-4.75,57.13,0.13,-0.06,0.13,0.02,0.1,-0.29
