temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
20.06,30.9,101568.89,-20.29,359.94,-6.56,97.56,0.06,0.19,-0.19,-0.03,0.19,-0.02,0.19339079605813714,0.2753179979587241,1.383260375307403,2.1587989303424644,0.0,0.0,0.0,0.0
20.06,30.9,101568.89,-20.29,359.94,-6.56,97.56,-0.13,0.06,-0.06,0.04,0.22,0.02,0.22449944320643647,0.15524174696260024,1.370249968906391,-1.1071487177940904,3.5000000000000004,1.5,2.0,4.301162633521314
20.06,30.91,101567.96,-20.21,359.94,-6.56,97.56,-0.06,-0.06,0.06,0.02,0.17,-0.01,0.17146428199482247,0.10392304845413264,1.440013692946979,-2.0344439357957027,-1.0,-2.4999999999999996,-1.5,3.082207001484488
20.06,30.91,101567.96,-20.21,359.94,-6.56,97.56,-0.19,0.0,-0.25,-0.02,0.21,0.06,0.21931712199461306,0.31400636936215165,1.2782671246748516,0.3217505543966422,-2.0,1.999999999999999,3.4999999999999996,4.499999999999999
20.07,30.91,101567.75,-20.19,359.94,-6.56,97.56,-0.25,0.19,-0.13,0.01,0.2,0.17,0.26267851073127396,0.33985290935932855,0.8654498658242793,-0.05875582271572269,1.5,-0.49999999999999906,5.500000000000001,5.722761571129799
20.07,30.91,101567.75,-20.19,359.94,-6.56,97.56,0.19,-0.06,0.0,0.02,0.17,0.07,0.18493242008906932,0.19924858845171275,1.1661830883811102,-0.27829965900511133,0.5,-1.5,-5.0,5.244044240850758
20.06,30.94,101568.48,-20.25,359.94,-6.56,97.56,0.06,-0.31,-0.06,0.02,0.24,0.05,0.24596747752497686,0.32140317359976395,1.3500703101964777,-0.3805063771123649,0.0,3.4999999999999987,-1.0000000000000002,3.6400549446402577
20.06,30.94,101568.48,-20.25,359.94,-6.56,97.56,0.06,-0.31,-0.06,-0.08,0.24,0.0,0.25298221281347033,0.32140317359976395,1.2490457723982544,1.5707963267948966,-5.0,0.0,-2.5,5.5901699437494745
20.06,30.92,101568.32,-20.24,359.94,-6.56,97.56,-0.19,0.06,-0.06,0.03,0.22,-0.02,0.22293496809607952,0.2080865204668481,1.4083517529364564,-2.1587989303424644,5.5,-0.9999999999999994,-1.0,5.678908345800274
20.07,30.84,101566.78,-20.11,359.94,-6.56,97.56,-0.06,-0.06,0.13,0.02,0.21,0.04,0.21470910553583886,0.15524174696260024,1.3609719447752833,-0.4636476090008061,-0.4999999999999999,-0.5000000000000004,3.0,3.082207001484488
20.07,30.84,101564.36,-19.91,359.94,-6.56,97.56,0.0,-0.19,0.19,0.02,0.17,0.05,0.1783255450012701,0.26870057685088805,1.2640220953799879,-0.3805063771123649,0.0,-1.999999999999999,0.5000000000000001,2.0615528128088294
20.07,30.84,101564.36,-19.91,359.94,-6.56,97.56,-0.13,0.19,0.06,-0.02,0.17,0.04,0.17578395831246948,0.23790754506740638,1.3135577890216177,0.4636476090008061,-2.0,0.0,-0.5000000000000001,2.0615528128088303
20.07,30.84,101565.45,-20.0,359.94,-6.56,97.56,0.06,0.0,0.13,0.01,0.19,0.04,0.1944222209522358,0.14317821063276354,1.357104010545573,-0.24497866312686414,1.5,0.9999999999999994,0.0,1.8027756377319943
20.07,30.84,101565.45,-20.0,359.94,-6.56,97.56,-0.13,-0.19,0.0,0.0,0.2,0.06,0.208806130178211,0.23021728866442678,1.2793395323170296,-0.0,-0.5,0.5000000000000004,0.9999999999999998,1.224744871391589
20.07,30.82,101567.88,-20.2,359.94,-6.56,97.56,0.19,0.06,0.0,0.02,0.19,0.05,0.19748417658131498,0.19924858845171275,1.2946100794964708,-0.3805063771123649,1.0,-0.5000000000000004,-0.4999999999999997,1.2247448713915892
20.07,30.82,101567.88,-20.2,359.94,-6.56,97.56,0.0,0.13,0.06,0.0,0.19,0.02,0.191049731745428,0.14317821063276354,1.4659193880646628,-0.0,-1.0,0.0,-1.5,1.8027756377319946
20.08,30.83,101568.47,-20.25,359.94,-6.56,97.56,0.0,-0.06,0.0,0.0,0.17,0.06,0.18027756377319948,0.06,1.2315037123408519,-0.0,0.0,-0.9999999999999994,1.9999999999999996,2.236067977499789
20.08,30.83,101568.47,-20.25,359.94,-6.56,97.56,-0.06,-0.06,0.06,0.0,0.21,0.03,0.21213203435596423,0.10392304845413264,1.4288992721907328,-0.0,0.0,1.999999999999999,-1.5,2.499999999999999
20.07,30.84,101566.55,-20.09,359.94,-6.56,97.56,0.0,-0.19,0.0,0.02,0.24,0.05,0.24596747752497686,0.19,1.3500703101964777,-0.3805063771123649,1.0,1.5,1.0000000000000002,2.0615528128088303
20.07,30.84,101566.55,-20.09,359.94,-6.56,97.56,-0.06,0.06,-0.06,0.02,0.18,0.03,0.18357559750685817,0.10392304845413264,1.3731042420474193,-0.5880026035475676,0.0,-3.0,-1.0000000000000002,3.1622776601683795
0.0,0.0,0.0,0.0,359.87,-6.81,97.0,-0.25,-0.37,0.13,0.07,0.17,-0.09,0.20469489490458723,0.4650806381693394,0.9800125245225013,-2.480549484739106,2.5,-0.49999999999999906,-6.0,6.519202405202649
0.0,0.0,0.0,0.0,359.87,-6.81,97.0,0.0,-1.44,-0.13,-0.17,0.1,-0.03,0.19949937343260005,1.445856147754679,0.5250481935415869,1.7454685258031364,-12.0,-3.5000000000000004,3.0,12.854960132182441
0.0,0.0,0.0,0.0,359.75,-6.81,97.0,-0.31,-1.94,-0.19,0.08,0.14,0.05,0.16881943016134132,1.9737781030298212,0.9778331346511313,-1.0121970114513341,12.5,2.0000000000000004,4.0,13.275918047351754
