temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
20.06,32.24,101566.54,-20.09,359.94,-7.0,96.56,0.06,0.56,0.13,0.01,0.18,0.07,0.19339079605813717,0.578013840664737,1.196480073428606,-0.1418970546041639,0.0,0.0,0.0,0.0
20.06,32.24,101566.54,-20.09,359.94,-7.0,96.56,0.13,0.25,0.06,0.02,0.17,0.11,0.20346989949375807,0.28809720581775866,0.989050131316714,-0.17985349979247828,0.5,-0.49999999999999906,1.9999999999999996,2.121320343559642
20.05,32.24,101566.52,-20.09,0.0,-7.0,96.56,-0.06,0.5,0.13,-0.02,0.21,0.08,0.22561028345356954,0.5200961449578337,1.1966190149916855,0.24497866312686414,-2.0,1.999999999999999,-1.5,3.201562118716424
20.05,32.24,101566.52,-20.09,359.94,-7.0,96.56,-0.19,0.0,0.06,0.03,0.19,0.1,0.216794833886788,0.19924858845171275,1.0683448960201047,-0.29145679447786704,2.5,-0.9999999999999994,1.0000000000000002,2.8722813232690143
20.05,32.24,101566.61,-20.1,359.94,-7.0,96.56,-0.13,-0.13,-0.13,0.03,0.19,0.08,0.2083266665599966,0.22516660498395408,1.1482048785169772,-0.3587706702705722,0.0,0.0,-1.0000000000000002,1.0000000000000002
20.05,32.24,101566.61,-20.1,0.0,-7.0,96.56,-0.06,-0.31,-0.13,0.03,0.19,0.03,0.19467922333931784,0.34146742157927745,1.3511035302828724,-0.7853981633974483,0.0,0.0,-2.5,2.5
20.05,32.27,101563.45,-19.83,0.0,-7.0,96.56,-0.13,-0.37,-0.13,0.01,0.21,0.01,0.21047565179849187,0.41315856520227195,1.5035543519379277,-0.7853981633974483,-0.9999999999999998,0.9999999999999994,-0.9999999999999998,1.7320508075688767
20.05,32.27,101563.45,-19.83,0.0,-7.0,96.56,-0.06,-0.31,-0.13,0.0,0.19,-0.06,0.19924858845171275,0.34146742157927745,1.2649174553900444,-3.141592653589793,-0.5,-0.9999999999999994,-3.4999999999999996,3.6742346141747664
20.05,32.25,101561.7,-19.69,0.0,-7.0,96.56,0.06,-0.19,-0.19,0.03,0.19,-0.08,0.2083266665599966,0.2753179979587241,1.1482048785169772,-2.782821983319221,1.5,0.0,-1.0000000000000002,1.8027756377319948
20.06,32.19,101564.57,-19.93,0.0,-7.0,96.62,0.0,0.06,0.06,0.02,0.16,0.0,0.161245154965971,0.08485281374238571,1.446441332248135,-1.5707963267948966,-0.4999999999999999,-1.5,4.0,4.301162633521313
20.06,32.13,101565.9,-20.04,0.0,-7.0,96.62,-0.13,-0.06,0.06,0.03,0.18,0.0,0.18248287590894657,0.15524174696260024,1.4056476493802699,-1.5707963267948966,0.4999999999999999,0.9999999999999994,0.0,1.1180339887498942
20.06,32.13,101565.9,-20.04,0.0,-7.0,96.62,-0.25,-0.13,0.0,0.02,0.23,0.03,0.23280893453645632,0.28178005607210743,1.415298753462458,-0.5880026035475676,-0.4999999999999999,2.500000000000001,1.5,2.9580398915498085
20.06,32.16,101566.66,-20.1,0.0,-7.0,96.62,0.06,-0.13,-0.06,0.01,0.17,0.0,0.17029386365926402,0.15524174696260024,1.512040504079174,-1.5707963267948966,-0.5,-3.0,-1.5,3.391164991562634
20.06,32.16,101566.66,-20.1,0.0,-7.0,96.62,0.0,-0.25,0.0,0.03,0.18,0.02,0.18357559750685817,0.25,1.3731042420474193,-0.982793723247329,0.9999999999999998,0.49999999999999906,1.0,1.4999999999999996
20.07,32.17,101566.19,-20.06,0.0,-7.0,96.62,-0.06,0.06,-0.06,0.04,0.2,0.03,0.20615528128088303,0.10392304845413264,1.3258176636680326,-0.9272952180016123,0.5000000000000001,1.0000000000000009,0.4999999999999999,1.2247448713915898
20.07,32.17,101566.19,-20.06,0.0,-7.0,96.62,0.13,0.06,-0.06,0.0,0.19,0.01,0.1902629759044045,0.15524174696260024,1.5182132651839548,-0.0,-2.0,-0.5000000000000004,-0.9999999999999998,2.29128784747792
20.07,32.13,101566.69,-20.1,0.0,-7.0,96.62,0.0,0.13,0.13,0.06,0.18,0.01,0.19,0.18384776310850237,1.244913369573858,-1.4056476493802699,3.0,-0.5000000000000004,0.0,3.0413812651491097
20.07,32.13,101566.69,-20.27,0.0,-7.0,96.62,0.0,-0.06,-0.13,0.0,0.18,0.01,0.18027756377319948,0.14317821063276354,1.5152978215491797,-0.0,-3.0,0.0,0.0,3.0
