temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
19.99,31.78,101572.78,-20.61,359.94,-6.87,97.44,0.0,0.0,0.0,0.0,0.2,0.05,0.20615528128088306,0.0,1.3258176636680326,-0.0,0.0,0.0,0.0,0.0
19.99,31.8,101572.45,-20.58,359.94,-6.87,97.44,-0.13,-0.13,-0.06,0.0,0.17,0.06,0.18027756377319948,0.19339079605813717,1.2315037123408519,-0.0,0.0,-1.5,0.4999999999999997,1.5811388300841895
19.99,31.8,101572.45,-20.58,359.94,-6.87,97.44,0.06,0.13,0.06,0.03,0.17,0.01,0.17291616465790585,0.15524174696260024,1.3868820394559724,-1.2490457723982544,1.5,0.0,-2.4999999999999996,2.91547594742265
20.0,31.81,101572.77,-20.61,359.94,-6.87,97.44,-0.13,0.06,0.0,0.0,0.17,0.0,0.17,0.14317821063276354,1.5707963267948966,-0.0,-1.5,0.0,-0.5,1.5811388300841898
20.0,31.81,101572.77,-20.61,359.94,-6.87,97.44,0.06,0.0,0.13,0.01,0.16,0.04,0.16522711641858306,0.14317821063276354,1.3185893683364158,-0.24497866312686414,0.5,-0.5000000000000004,2.0,2.1213203435596424
20.0,31.83,101571.21,-20.48,359.94,-6.87,97.44,0.06,0.0,0.0,0.02,0.18,0.0,0.18110770276274832,0.06,1.460139105621001,-1.5707963267948966,0.5,0.9999999999999994,-2.0,2.29128784747792
20.0,31.83,101571.21,-20.48,359.94,-6.87,97.44,0.13,-0.06,0.0,0.01,0.18,0.05,0.18708286933869708,0.14317821063276354,1.2947497316943677,-0.19739555984988075,-0.5,0.0,2.5,2.5495097567963922
20.0,31.83,101572.8,-20.61,359.94,-6.87,97.44,0.0,-0.25,0.0,0.02,0.19,0.03,0.19339079605813714,0.25,1.383260375307403,-0.5880026035475676,0.5,0.5000000000000004,-1.0000000000000002,1.2247448713915894
20.0,31.83,101572.8,-20.61,359.94,-6.87,97.44,0.0,-0.06,0.0,0.01,0.17,0.05,0.1774823934929885,0.06,1.2793924466165885,-0.19739555984988075,-0.5,-0.9999999999999994,1.0000000000000002,1.4999999999999998
20.01,31.91,101571.5,-20.5,359.94,-6.87,97.44,0.0,-0.13,-0.06,0.04,0.19,0.0,0.194164878389476,0.14317821063276354,1.3633001003596938,-1.5707963267948966,1.5,0.9999999999999994,-2.5,3.082207001484488
