temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude
0.0,0.0,0.0,0.0,1.87,-6.62,91.94,2.12,20.5,0.25,0.17,0.17,1.86,1.8754732736032258,20.610844233073035,0.09076837425892526,-0.09114461813708959,19.5,-8.999999999999998,20.500000000000007,29.69006567860705
0.0,0.0,0.0,0.0,3.06,-6.56,91.69,0.62,23.94,0.69,0.32,0.12,1.88,1.9108113459993898,23.957965272535144,0.06284190155543956,-0.16859693960942962,7.5,-2.500000000000001,0.9999999999999898,7.968688725254613
0.0,0.0,0.0,0.0,4.5,-6.31,90.19,-0.75,24.31,1.5,0.17,0.08,1.76,1.77,24.367777904437656,0.04521314286951412,-0.09629218811358224,-7.5,-1.9999999999999996,-5.999999999999994,9.810708435174288
0.0,0.0,0.0,0.0,5.56,-6.37,90.44,2.94,22.5,-0.25,-0.09,0.61,2.17,2.2559033667247363,22.69264418264209,0.2738102018249898,0.04145089805819111,-13.0,26.5,20.499999999999996,35.937445652132816
0.0,0.0,0.0,0.0,6.62,-6.37,90.44,1.75,21.37,-0.31,0.27,-0.17,1.0,1.0496666137398103,21.44377532059129,-0.16267268776609253,-0.26371183446226615,18.0,-39.0,-58.49999999999999,72.57582242041767
0.0,0.0,0.0,0.0,7.62,-6.37,90.44,3.5,18.37,0.5,0.37,-0.2,-0.45,0.6159545437773798,18.70713500245294,-0.3306937688523918,-2.453447688443911,4.999999999999999,-1.5,-72.5,72.68768809090024
0.0,0.0,0.0,0.0,8.44,-6.37,90.44,3.25,16.69,-0.75,-0.07,-0.2,-0.4,0.45265881191025104,17.02002056402988,-0.4576418872844288,2.968346987137428,-22.0,0.0,2.4999999999999996,22.14158982548453
0.0,0.0,0.0,0.0,9.31,-6.37,90.44,1.31,17.37,0.44,0.14,-0.11,-0.34,0.3837968212479098,17.42488450463876,-0.290686489386203,-2.7509856098921066,10.5,4.5,3.0,11.811011811017716
0.0,0.0,0.0,0.0,10.19,-6.31,90.62,2.81,16.75,0.88,0.16,0.31,-0.43,0.5537147279962851,17.00685156047409,0.5942108829724952,-2.785372998193643,0.9999999999999994,21.0,-4.499999999999998,21.5
0.0,0.0,0.0,0.0,11.06,-6.25,90.56,4.5,17.37,-6.19,1.12,2.55,1.41,3.121698255757593,18.98112220075515,0.9559516694827699,-0.6712717453867055,48.0,111.99999999999999,91.99999999999999,152.6826774719385
0.0,0.0,0.0,0.0,285.94,-70.0,-116.87,61.94,-3.06,-26.19,0.79,-1.88,-0.99,2.266848031959796,67.31896686670109,-0.9779351008392798,-2.468084756364021,-16.500000000000004,-221.49999999999997,-120.0,252.45692701924418
0.0,0.0,0.0,0.0,288.81,-70.81,-118.37,23.25,-12.13,-7.19,1.65,-4.02,-0.88,4.433655376774338,27.191827816459856,-1.1353954914790232,-2.060753653048625,42.99999999999999,-106.99999999999999,5.499999999999999,115.44804026054317
0.0,0.0,0.0,0.0,288.87,-71.12,-116.94,-9.81,-12.5,-1.62,-2.35,-1.47,-0.69,2.8564838525711993,15.972178937139416,-0.5405628804475121,1.8563869390517485,-200.0,127.49999999999999,9.500000000000004,237.37417719709953
0.0,0.0,0.0,0.0,288.37,-71.44,-115.0,-17.06,-8.88,-1.75,-0.22,0.1,0.27,0.36235341863986875,19.312185272516416,0.27960255735325684,0.6837093116343712,106.49999999999999,78.5,48.0,140.74267298868526
0.0,0.0,0.0,0.0,287.75,-71.62,-113.06,-12.38,-10.13,-0.06,0.8,0.82,0.36,1.200833044182246,15.996402720611908,0.7516693986430505,-1.1479424006619559,51.0,36.0,4.499999999999998,62.5879381350752
0.0,0.0,0.0,0.0,287.56,-71.87,-111.19,-6.06,-11.88,-3.56,-0.22,1.17,0.54,1.3072490198887126,13.803318441592225,1.108452000317255,0.3868757177310281,-51.0,17.5,9.000000000000002,54.66488818245218
0.0,0.0,0.0,0.0,288.19,-72.56,-109.56,1.81,-14.31,-11.94,0.09,0.02,-0.26,0.2758622844826744,18.724737648362392,0.07256360693067875,-2.8083483524781205,15.5,-57.49999999999999,-40.0,71.73911067193403
0.0,0.0,0.0,0.0,289.31,-73.5,-108.56,3.44,-13.63,-19.0,0.3,0.23,0.03,0.37920970451717084,23.634942352373105,0.6516820002289588,-1.4711276743037347,10.5,10.5,14.500000000000002,20.754517580517263
0.0,0.0,0.0,0.0,290.62,-74.62,-107.19,2.12,-17.37,-18.69,-0.07,-0.38,-0.09,0.39673668849754745,25.60326932249083,-1.2792971801030892,2.480549484739106,-18.5,-30.5,-6.0,36.173194495371845
0.0,0.0,0.0,0.0,291.75,-75.75,-104.37,-1.94,-22.06,-16.5,0.19,-0.89,-0.37,0.9823950325607311,27.616248840130332,-1.133616309859753,-2.667192770797886,13.0,-25.5,-14.000000000000002,31.862987932709636
0.0,0.0,0.0,0.0,292.56,-76.69,-100.19,-6.0,-25.12,-14.19,0.05,-0.75,-0.21,0.7804485889538144,29.468126849190806,-1.2905443952890836,-2.907849472720892,-7.000000000000001,7.000000000000001,8.0,12.727922061357857
0.0,0.0,0.0,0.0,293.06,-77.44,-94.44,-8.81,-28.44,-10.56,-0.11,-0.6,-0.1,0.6181423784210236,31.590557133422006,-1.3279196469738326,2.3086113869153615,-8.0,7.500000000000001,5.499999999999999,12.267844146385297
0.0,0.0,0.0,0.0,319.25,-76.37,-61.56,7.25,-1.44,0.19,0.02,0.0,-0.02,0.0282842712474619,7.394065187702905,0.0,-2.356194490192345,6.5,30.0,4.0,30.955613384328213
0.0,0.0,0.0,0.0,319.56,-76.31,-61.69,7.62,-1.25,0.06,0.03,0.01,-0.04,0.05099019513592785,7.72207873567733,0.19739555984988075,-2.498091544796509,0.4999999999999999,0.5,-1.0,1.224744871391589
0.0,0.0,0.0,0.0,319.87,-76.31,-61.88,8.25,-1.31,0.06,0.02,0.0,0.0,0.02,8.353574085384052,0.0,-1.5707963267948966,-0.4999999999999999,-0.5,2.0,2.1213203435596424
0.0,0.0,0.0,0.0,320.25,-76.31,-62.06,8.5,-1.12,0.25,0.06,-0.02,-0.05,0.0806225774829855,8.577114899545185,-0.2506869231230345,-2.2655346029916,1.9999999999999996,-1.0,-2.5,3.3541019662496843
0.0,0.0,0.0,0.0,320.62,-76.25,-62.25,8.75,-1.19,0.13,0.05,0.0,-0.03,0.05830951894845301,8.831506100320603,0.0,-2.1112158270654806,-0.4999999999999997,1.0,1.0000000000000002,1.5
0.0,0.0,0.0,0.0,321.06,-76.25,-62.44,9.25,-1.62,0.19,0.04,-0.01,-0.07,0.08124038404635961,9.392709939096385,-0.12340446673478643,-2.62244653934327,-0.5000000000000001,-0.5,-2.0000000000000004,2.121320343559643
0.0,0.0,0.0,0.0,321.5,-76.19,-62.63,9.75,-1.94,0.19,0.04,0.0,-0.02,0.044721359549995794,9.9429472491812,0.0,-2.0344439357957027,0.0,0.5,2.5,2.5495097567963922
0.0,0.0,0.0,0.0,321.94,-76.12,-62.69,10.5,-2.19,0.13,0.05,0.0,0.0,0.05,10.726742282724985,0.0,-1.5707963267948966,0.5000000000000001,0.0,1.0,1.118033988749895
0.0,0.0,0.0,0.0,322.31,-76.06,-62.81,11.06,-2.25,0.19,0.02,0.0,-0.03,0.03605551275463989,11.288144223033298,0.0,-2.5535900500422257,-1.5,0.0,-1.5,2.1213203435596424
0.0,0.0,0.0,0.0,322.81,-76.06,-63.0,11.94,-2.37,0.25,0.03,-0.02,-0.02,0.0412310562561766,12.17550820294578,-0.5064446434135005,-2.1587989303424644,0.4999999999999999,-1.0,0.4999999999999999,1.224744871391589
0.0,0.0,0.0,0.0,323.37,-76.0,-63.13,13.13,-2.62,0.44,0.01,0.0,-0.02,0.022360679774997897,13.39607778418743,0.0,-2.677945044588987,-0.9999999999999998,1.0,0.0,1.414213562373095
0.0,0.0,0.0,0.0,321.81,-62.06,-123.31,-3.06,5.62,11.69,0.7,0.14,-0.17,0.7338255923582933,13.326818825211063,0.1919577257393099,-1.8090410849736416,34.5,7.000000000000001,-7.500000000000001,35.993054885630364
0.0,0.0,0.0,0.0,320.81,-61.5,-123.0,-2.94,2.37,9.0,0.86,0.28,-0.34,0.966229786334493,9.760148564443064,0.29400338221383526,-1.9472866612414195,8.000000000000002,7.000000000000001,-8.5,13.610657588816201
0.0,0.0,0.0,0.0,320.19,-61.25,-122.62,-2.25,-0.25,5.25,0.59,0.42,-0.31,0.7877816956492452,5.717298313014636,0.5623108100109979,-2.0545754439261055,-13.5,6.999999999999997,1.5000000000000013,15.280706789936124
0.0,0.0,0.0,0.0,319.87,-61.06,-122.37,0.25,-1.81,0.5,0.09,0.41,0.05,0.422729227756965,1.8943600502544389,1.3247704744924766,-1.0636978224025597,-25.0,-0.5000000000000004,18.0,30.80990100600779
0.0,0.0,0.0,0.0,319.94,-61.19,-122.37,2.81,-1.56,-3.12,0.12,0.26,0.38,0.47581509013481277,4.479296819814468,0.5780965226307019,-0.30587887140485215,1.5,-7.499999999999998,16.5,18.186533479473212
0.0,0.0,0.0,0.0,320.06,-61.31,-122.37,4.06,-1.56,-2.75,0.1,0.17,0.29,0.3507135583350036,5.1458429824470935,0.506049942356219,-0.3320594675428855,-0.9999999999999994,-4.5,-4.500000000000001,6.442049363362563
0.0,0.0,0.0,0.0,320.37,-61.5,-122.25,3.81,-1.56,-2.25,0.05,0.04,0.22,0.229128784747792,4.691716103943205,0.1754734249618815,-0.22347660114063303,-2.5,-6.5,-3.4999999999999987,7.794228634059947
0.0,0.0,0.0,0.0,320.44,-61.63,-122.37,3.0,-1.0,-2.25,0.04,-0.07,0.08,0.11357816691600547,3.881043674065006,-0.6640555250489267,-0.4636476090008061,-0.5000000000000001,-5.500000000000001,-7.000000000000001,8.916277250063505
0.0,0.0,0.0,0.0,320.56,-61.75,-122.56,1.87,-0.81,-2.62,0.09,-0.24,-0.05,0.2611512971440119,3.3192469025367792,-1.1655555432282763,-2.077894831187234,2.4999999999999996,-8.499999999999998,-6.5,10.988630487917954
0.0,0.0,0.0,0.0,320.75,-61.88,-122.69,0.88,-1.25,-2.37,0.05,-0.19,-0.05,0.20273134932713294,2.8202482160263838,-1.2145165556254367,-2.356194490192345,-1.9999999999999996,2.4999999999999996,0.0,3.201562118716424
0.0,0.0,0.0,0.0,320.81,-62.0,-122.81,0.81,-1.37,-2.19,0.01,-0.23,0.02,0.23108440016582688,2.7072310577414704,-1.4738805568149178,-0.4636476090008061,-2.0,-2.0000000000000004,3.5000000000000004,4.500000000000001
0.0,0.0,0.0,0.0,320.75,-62.19,-122.87,0.37,-0.56,-1.87,-0.03,-0.22,0.06,0.22999999999999998,1.9868064827758138,-1.2748334052973291,0.4636476090008061,-2.0,0.5000000000000004,1.9999999999999996,2.872281323269014
0.0,0.0,0.0,0.0,320.0,-62.25,-123.06,0.0,-0.06,-0.06,0.01,0.0,-0.04,0.04123105625617661,0.08485281374238571,0.0,-2.896613990462929,2.0,11.0,-5.0,12.24744871391589
