temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
0.0,0.0,0.0,0.0,2.31,-7.19,98.56,0.56,0.69,0.13,0.2,0.12,-0.23,0.327566787083184,0.8981091247727082,0.3750698310568496,-2.425849063920913,18.5,-6.0,17.5,26.16295090390226,0
0.0,0.0,0.0,0.0,2.31,-7.19,98.56,0.0,1.0,0.13,-0.09,0.19,-0.14,0.2525866188063018,1.0084145972763383,0.8514205765382111,2.5702551737561663,-14.500000000000002,3.5000000000000004,4.5,15.580436450882884,0
0.0,0.0,0.0,0.0,2.44,-7.19,98.62,-0.37,1.69,0.37,0.07,0.06,-0.02,0.094339811320566,1.76915233939873,0.6893020395473869,-1.849095985800008,8.0,-6.5,6.0,11.926860441876563,0
0.0,0.0,0.0,0.0,2.5,-7.19,98.62,0.44,1.19,0.44,0.1,0.0,0.05,0.1118033988749895,1.3428700607281403,0.0,-1.1071487177940904,1.5,-3.0,3.5000000000000004,4.847679857416329,0
0.0,0.0,0.0,0.0,2.56,-7.19,98.62,0.37,1.06,0.06,0.0,0.13,0.0,0.13,1.1243220179290274,1.5707963267948966,-0.0,-5.0,6.5,-2.5,8.573214099741124,0
0.0,0.0,0.0,0.0,2.62,-7.19,98.62,0.5,1.06,0.19,0.02,-0.01,-0.15,0.151657508881031,1.1873078791956198,-0.0659859222609037,-3.0090411212931194,1.0,-7.000000000000001,-7.5,10.307764064044152,0
0.0,0.0,0.0,0.0,2.69,-7.19,98.69,0.0,1.5,0.13,-0.07,0.04,-0.35,0.3591656999213594,1.505622794726488,0.111600724385069,2.944197093739912,-4.5,2.5,-9.999999999999998,11.247221879201993,0
0.0,0.0,0.0,0.0,2.75,-7.19,98.81,-0.13,0.81,-0.06,0.06,0.09,-0.79,0.7973706791699832,0.8225569889071518,0.1131120119131473,-3.065788816228654,6.5,2.5,-22.000000000000004,23.075961518428656,0
0.0,0.0,0.0,0.0,7.37,-6.81,97.56,0.37,-0.06,-0.06,0.24,0.28,-0.67,0.7647875521999558,0.3796050579220461,0.3748304383931851,-2.797623533866432,9.0,9.500000000000002,6.0,14.39618004888797,0
0.0,0.0,0.0,0.0,7.37,-6.81,97.75,0.88,0.13,0.69,0.03,-0.14,0.48,0.5008991914547277,1.1257886124845995,-0.2832705624183593,-0.0624188099959573,-10.5,-21.0,57.49999999999999,62.10877554742163,0
