temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
0.0,0.0,0.0,0.0,353.06,-7.06,92.25,0.06,4.44,0.25,0.14,0.24,-0.14,0.3111269837220809,4.447437464428252,0.8810213260093969,-2.356194490192345,15.000000000000002,3.0,-12.5,19.75474626513841,0
0.0,0.0,0.0,0.0,353.31,-7.06,92.31,0.13,5.81,0.56,-0.06,0.38,-0.09,0.3950949253027682,5.838373061050484,1.293482030458108,2.5535900500422257,-10.0,7.000000000000001,2.500000000000001,12.459935794377111,0
0.0,0.0,0.0,0.0,353.62,-7.06,92.31,0.44,6.25,0.69,0.1,0.32,0.01,0.3354101966249684,6.3033483165695365,1.2664921426622615,-1.4711276743037347,8.0,-3.0,4.999999999999999,9.899494936611664,0
0.0,0.0,0.0,0.0,353.94,-7.06,92.37,0.5,5.69,0.31,0.0,0.12,-0.14,0.1843908891458577,5.720332158188019,0.7086262721276702,-3.141592653589793,-5.0,-10.0,-7.500000000000001,13.46291201783626,0
0.0,0.0,0.0,0.0,354.19,-7.06,92.44,0.31,5.25,0.37,0.0,0.17,-0.17,0.2404163056034262,5.272143776491684,0.7853981633974483,-3.141592653589793,0.0,2.500000000000001,-1.5,2.915475947422651,0
0.0,0.0,0.0,0.0,358.87,-7.0,92.81,0.13,-1.25,-0.13,0.02,0.1,-0.21,0.233452350598575,1.2634476641317598,0.4426692319491571,-3.046640947247037,1.0,-3.5000000000000004,-1.999999999999999,4.153311931459037,0
0.0,0.0,0.0,0.0,358.81,-7.0,92.81,0.25,-0.81,-0.19,0.01,0.0,-0.3,0.3001666203960726,0.8687347120957007,0.0,-3.108271657711546,-0.5,-5.0,-4.5,6.745368781616021,0
0.0,0.0,0.0,0.0,358.75,-7.0,92.87,-0.06,-0.69,-0.06,0.06,0.13,-0.35,0.3781534080237807,0.695197813575388,0.3509348451065948,-2.971814379621455,2.5,6.5,-2.5,7.399324293474371,0
0.0,0.0,0.0,0.0,358.75,-7.0,92.94,-0.5,-1.06,-0.37,0.12,0.0,-0.08,0.1442220510185595,1.2290240030202828,0.0,-2.1587989303424644,3.0,-6.5,13.499999999999998,15.280706789936124,0
0.0,0.0,0.0,0.0,358.69,-7.0,92.87,-0.06,-1.5,-0.31,0.02,0.32,-0.06,0.3261901286060018,1.5328731193415843,1.375668758888862,-2.819842099193151,-4.999999999999999,16.0,1.0000000000000002,16.792855623746664,0
0.0,0.0,0.0,0.0,358.62,-7.0,92.94,0.06,-1.69,0.0,0.09,0.12,-0.09,0.174928556845359,1.6910647533432892,0.7559694104239078,-2.356194490192345,3.5,-10.0,-1.5,10.700467279516348,0
0.0,0.0,0.0,0.0,358.5,-7.0,92.94,0.06,-2.0,-0.44,0.04,0.05,0.09,0.1104536101718726,2.04870690924788,0.4697672159266982,-0.4182243295792291,-2.5,-3.5,9.0,9.974968671630002,0
0.0,0.0,0.0,0.0,358.37,-7.0,92.94,-0.13,-2.31,-0.31,0.07,0.04,-0.15,0.170293863659264,2.334330739205565,0.2371034331460683,-2.704965493776252,1.5000000000000002,-0.5000000000000001,-12.0,12.103718436910205,0
0.0,0.0,0.0,0.0,358.31,-7.0,92.94,-0.37,-2.56,-0.44,0.01,0.26,-0.2,0.3281767816284388,2.6237568484903475,0.9144972687219513,-3.0916342578678506,-3.0,11.0,-2.500000000000001,11.672617529928752,0
0.0,0.0,0.0,0.0,358.19,-7.0,92.94,-0.19,-2.12,-0.69,0.1,-0.16,-0.13,0.229128784747792,2.2375432956705,-0.7730159454331311,-2.485897027348257,4.5,-21.0,3.5000000000000004,21.760055146988943,0
0.0,0.0,0.0,0.0,358.06,-7.0,92.87,0.0,-3.06,-0.37,-0.07,0.32,0.02,0.3281767816284388,3.0822881111278355,1.347100361201215,1.2924966677897851,-8.5,24.0,7.5,26.542418879973997,0
0.0,0.0,0.0,0.0,338.25,-7.0,90.81,-0.25,-3.31,0.0,0.02,0.05,0.03,0.0616441400296897,3.3194276615103395,0.9460424580298537,-0.5880026035475676,4.5,-13.5,0.4999999999999999,14.239030865898142,0
0.0,0.0,0.0,0.0,338.12,-7.0,90.81,-0.13,-3.37,0.06,0.1,0.08,0.04,0.1341640786499874,3.3730401717145324,0.6388651442354111,-1.1902899496825317,4.0,1.5,0.5000000000000001,4.301162633521313,0
0.0,0.0,0.0,0.0,337.94,-7.0,90.81,-0.31,-3.12,0.06,-0.09,0.07,0.06,0.1288409872672512,3.135936861609302,0.574369257148682,0.982793723247329,-9.5,-0.4999999999999997,0.9999999999999998,9.565563234854496,0
0.0,0.0,0.0,0.0,337.81,-7.0,90.75,-0.06,-2.0,0.0,0.12,0.04,0.12,0.1743559577416269,2.0008997975910736,0.2314773639701783,-0.7853981633974483,10.5,-1.5000000000000002,3.0,11.0227038425243,0
0.0,0.0,0.0,0.0,337.75,-7.0,90.75,0.06,-2.06,-0.06,0.0,0.05,-0.03,0.058309518948453,2.0617468321789656,1.0303768265243125,-3.141592653589793,-6.0,0.5000000000000001,-7.5,9.617692030835672,0
