temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
19.73,31.86,101564.47,-19.92,355.0,-6.87,89.5,4.0,-3.19,-0.31,-0.31,-0.2,-0.9,0.9726767191621274,5.125641423275725,-0.2070953253227319,2.809875651786944,-28.500000000000004,-17.0,11.000000000000004,34.96069221282668,0
19.73,31.86,101564.47,-19.92,354.87,-6.87,89.44,1.56,-2.87,-0.31,-0.23,0.43,0.29,0.5673623181001713,3.2812497619047534,0.860077499995636,0.6705215579805492,3.999999999999999,31.5,59.49999999999999,67.44256815987956,0
19.73,31.84,101566.3,-20.07,354.75,-6.81,89.44,-0.06,-1.75,-0.44,0.05,0.0,-0.18,0.186815416922694,1.80546392929906,0.0,-2.8706458032513726,14.000000000000002,-21.5,-23.5,34.792240514229604,0
19.74,31.1,101563.22,-19.81,357.69,-6.81,92.31,0.06,-0.62,0.0,0.03,0.18,-0.38,0.4215447781671598,0.6228964600958975,0.4411735035059996,-3.0628086926006493,-1.0000000000000002,9.0,-10.0,13.490737563232042,0
19.74,31.1,101563.22,-19.81,357.62,-6.81,92.44,-0.06,-0.94,0.06,-0.15,0.2,-0.38,0.4548626166217663,0.9438220171197532,0.4552570543412533,2.7656316997184875,-9.0,1.0000000000000009,0.0,9.055385138137416,0
19.75,31.08,101568.06,-20.22,357.5,-6.87,92.62,0.0,-0.44,0.13,0.1,0.23,-0.43,0.4977951385861457,0.4588027898781784,0.480291209292812,-2.9130960142979307,12.5,1.5,-2.5,12.835497652993435,0
19.75,31.08,101568.06,-20.22,357.44,-6.87,92.81,-0.13,-0.44,-0.06,-0.13,0.15,-0.38,0.4287190222045203,0.4627094120503709,0.3574424776002582,2.8119682461690503,-11.5,-4.000000000000001,2.5,12.429802894656053,0
19.75,31.05,101565.08,-19.97,357.44,-6.94,92.94,-0.13,-0.31,-0.06,-0.02,0.15,-0.39,0.4183300132670378,0.3414674215792774,0.3667340590922736,3.0903554861863745,5.5,0.0,-0.5000000000000004,5.522680508593631,0
19.75,31.06,101565.28,-19.99,357.37,-6.94,93.12,-0.25,-0.25,0.06,0.07,0.19,-0.34,0.3957271787481876,0.3586084215408221,0.5008014931293399,-2.938547436336328,4.5,2.0000000000000004,2.5,5.522680508593631,0
19.74,31.06,101565.28,-19.99,357.44,-6.94,93.25,-0.25,0.44,0.13,0.05,0.22,-0.34,0.4080441152620633,0.5224940191045253,0.5694363072335943,-2.995580395878518,-1.0000000000000002,1.5,0.0,1.8027756377319948,0
19.74,31.04,101564.13,-19.89,357.44,-6.94,93.37,-0.44,0.06,0.06,-0.05,0.26,-0.39,0.471380949975707,0.4481071300481615,0.5842463141585555,3.0140830953745548,-5.0,2.0000000000000004,-2.5,5.937171043518958,0
19.74,31.04,101564.13,-19.89,357.44,-6.94,93.5,-0.06,1.12,0.19,-0.07,0.13,-0.34,0.3706750598570128,1.13758516164725,0.3583307347142663,2.938547436336328,-1.0000000000000002,-6.5,2.5,7.035623639735144,0
19.74,31.02,101563.2,-19.81,357.44,-6.94,93.62,-0.31,0.81,0.19,-0.06,0.17,-0.17,0.2477902338672773,0.887862601982987,0.7560653798575158,2.8023000391357487,0.5000000000000004,2.0000000000000004,8.5,8.74642784226795,0
19.74,31.02,101563.2,-19.81,357.44,-7.0,93.62,0.0,0.0,-0.31,0.06,0.23,-0.19,0.3043024810940588,0.31,0.8569160792513776,-2.835713782184941,6.0,3.0,-0.9999999999999994,6.782329983125268,0
19.72,30.58,101566.2,-20.06,352.81,-7.06,90.69,-2.81,-27.06,-0.88,0.3,0.21,0.49,0.6117188896870849,27.219737324228536,0.3504227970045965,-0.5493744847715509,12.0,-1.0000000000000009,33.99999999999999,36.069377593742864,0
19.72,30.58,101566.2,-20.06,351.5,-7.0,90.62,-2.94,-29.69,-0.94,0.13,0.11,0.28,0.3277193921634788,29.850013400332003,0.3422983703004054,-0.4346702151492447,-8.499999999999998,-4.999999999999999,-10.499999999999998,14.404860290887932,0
19.73,30.58,101564.31,-19.9,350.06,-6.94,90.5,-3.19,-31.12,-1.12,-0.27,0.17,0.04,0.3215587038162705,31.303113263699508,0.5570386476582796,1.423717971406494,-20.0,3.0000000000000004,-12.0,23.515952032609693,0
19.73,30.58,101564.31,-19.9,348.62,-6.94,90.5,-3.62,-29.5,-1.0,0.14,0.19,0.01,0.2362202362203543,29.73809677837504,0.9345539706974644,-1.4994888620096063,20.5,0.9999999999999994,-1.5,20.57911562725668,0
19.73,30.57,101565.8,-20.03,347.19,-6.94,90.5,-3.12,-28.69,-0.75,0.37,0.25,-0.11,0.4598912915026767,28.868893293647407,0.5747282588722576,-1.859771736787463,11.499999999999998,3.0,-6.0,13.313526955694346,0
19.73,30.57,101565.8,-20.03,345.87,-6.94,90.44,-2.62,-25.75,-0.44,-0.18,0.31,-0.31,0.4739198244429115,25.88668576701158,0.7130173995137533,2.61552623459303,-27.5,3.0,-10.0,29.415132160165456,0
