temperature,humidity,pressure,altitude,absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
20.03,31.0,101564.45,-19.92,0.0,-7.0,96.75,0.0,0.13,0.13,0.01,0.21,0.03,0.212367605815953,0.1838477631085023,1.421334642969628,-0.3217505543966422,0.0,0.0,0.0,0.0,0
20.03,31.0,101564.45,-19.92,0.0,-7.0,96.75,-0.06,0.06,0.19,0.07,0.18,-0.05,0.1994993734326,0.2080865204668481,1.1249788460500307,-2.191045812777718,3.0,-1.5,-4.0,5.220153254455275,0
20.03,31.07,101565.78,-20.03,0.0,-7.0,96.75,0.0,0.19,0.06,0.04,0.19,0.01,0.1944222209522358,0.1992485884517127,1.357104010545573,-1.3258176636680326,-1.5000000000000002,0.5000000000000004,3.0,3.3911649915626345,0
20.03,31.07,101565.78,-20.03,0.0,-7.0,96.75,0.06,0.25,0.13,0.03,0.19,-0.03,0.1946792233393178,0.2880972058177586,1.3511035302828724,-2.356194490192345,-0.5000000000000001,0.0,-2.0,2.0615528128088303,0
20.03,31.09,101564.95,-19.96,0.0,-7.0,96.75,0.13,-0.13,0.13,0.05,0.23,0.06,0.2428991560298224,0.225166604983954,1.2434378683223652,-0.6947382761967033,1.0000000000000002,2.0000000000000004,4.5,5.024937810560445,0
20.03,31.09,101564.95,-19.96,0.0,-7.0,96.75,-0.06,-0.31,0.06,0.03,0.19,0.01,0.1926136028425822,0.3214031735997639,1.40587241488562,-1.2490457723982544,-1.0000000000000002,-2.0000000000000004,-2.5,3.3541019662496847,0
20.03,31.16,101563.22,-19.81,0.0,-7.0,96.75,0.19,-0.19,0.0,0.02,0.17,0.0,0.1711724276862369,0.268700576850888,1.4536875822280324,-1.5707963267948966,-0.4999999999999999,-0.9999999999999994,-0.5,1.2247448713915885,0
20.03,31.16,101563.22,-19.81,0.0,-7.0,96.75,0.06,-0.06,0.0,0.02,0.21,0.0,0.2109502310972898,0.0848528137423857,1.4758446204521405,-1.5707963267948966,0.0,1.999999999999999,0.0,1.999999999999999,0
20.03,31.21,101567.2,-20.15,0.0,-7.0,96.75,0.25,0.19,0.0,0.03,0.18,0.05,0.189208879284245,0.3140063693621516,1.2575218563356343,-0.5404195002705842,0.4999999999999999,-1.5,2.5,2.958039891549808,0
20.04,31.48,101567.23,-20.15,0.0,-7.0,96.75,0.06,0.44,0.0,0.0,0.18,0.01,0.1802775637731994,0.4440720662234903,1.5152978215491797,-0.0,-1.5,0.0,-2.0,2.5,0
20.04,31.48,101565.07,-19.97,0.0,-7.0,96.75,0.19,0.19,-0.06,0.04,0.19,0.1,0.2184032966784155,0.2753179979587241,1.0551014036954756,-0.3805063771123649,2.0,0.5000000000000004,4.5,4.949747468305833,0
20.04,31.48,101565.07,-19.97,0.0,-7.0,96.75,0.0,0.37,0.0,0.07,0.19,0.08,0.2177154105707724,0.37,1.0607029166518098,-0.7188299996216245,1.5000000000000002,0.0,-1.0000000000000002,1.802775637731995,0
20.04,31.54,101563.77,-19.86,0.0,-7.0,96.75,-0.06,-0.13,-0.06,0.06,0.19,0.1,0.2229349680960795,0.1552417469626002,1.020302837349616,-0.5404195002705842,-0.5000000000000004,0.0,1.0000000000000002,1.1180339887498951,0
20.04,31.54,101563.77,-19.86,0.0,-7.0,96.75,-0.13,-0.06,-0.06,0.02,0.22,0.01,0.2211334438749598,0.1552417469626002,1.4695047178610432,-1.1071487177940904,-2.0,1.5,-4.5,5.1478150704935,0
20.04,31.52,101567.99,-20.21,0.0,-7.0,96.75,0.0,0.13,-0.13,0.0,0.2,0.0,0.2,0.1838477631085023,1.5707963267948966,-0.0,-1.0,-0.9999999999999994,-0.5,1.4999999999999998,0
20.04,31.52,101567.99,-20.21,0.0,-7.0,96.75,0.19,0.06,0.13,0.02,0.16,-0.01,0.1615549442140351,0.2379075450674063,1.4319414207133494,-2.0344439357957027,1.0,-2.0000000000000004,-0.5,2.2912878474779204,0
20.04,31.54,101564.59,-19.93,0.0,-7.0,96.75,0.06,0.31,-0.06,0.04,0.21,0.0,0.2137755832643194,0.3214031735997639,1.382574821490126,-1.5707963267948966,1.0,2.5,0.5,2.73861278752583,0
20.04,31.54,101564.59,-19.93,0.0,-7.0,96.75,0.13,0.19,-0.06,0.04,0.16,0.0,0.1649242250247064,0.2379075450674063,1.3258176636680326,-1.5707963267948966,0.0,-2.5,0.0,2.5,0
20.04,31.52,101566.0,-20.05,0.0,-7.0,96.75,-0.06,-0.06,0.0,0.08,0.21,-0.02,0.2256102834535695,0.0848528137423857,1.1966190149916855,-1.8157749899217608,2.0,2.5,-1.0,3.3541019662496843,0
20.04,31.52,101566.0,-20.05,0.0,-7.0,96.75,0.19,-0.13,0.0,0.0,0.18,0.01,0.1802775637731994,0.2302172886644267,1.5152978215491797,-0.0,-4.0,-1.5,1.5,4.527692569068709,0
20.05,31.55,101566.02,-20.05,0.0,-7.0,96.75,0.06,0.37,0.13,0.02,0.19,0.06,0.2002498439450078,0.3967366884975474,1.2494616306279485,-0.3217505543966422,1.0,0.5000000000000004,2.5,2.73861278752583,0
0.0,0.0,0.0,0.0,359.25,-7.06,96.75,0.06,-0.75,-0.06,-0.07,0.17,0.32,0.3690528417449187,0.7547847375245476,0.4787145902197645,0.215357699697738,-4.5,-0.9999999999999994,13.0,13.793114224133722,0
0.0,0.0,0.0,0.0,359.25,-7.0,96.69,0.13,-0.5,0.06,0.04,0.11,0.28,0.3034798181098704,0.5200961449578337,0.3709085230334604,-0.1418970546041639,5.500000000000001,-3.0000000000000004,-1.999999999999999,6.576473218982954,0
0.0,0.0,0.0,0.0,359.25,-7.0,96.62,0.0,-0.06,0.0,-0.03,0.16,0.28,0.323882694814033,0.06,0.5166912389352057,0.1067356726491356,-3.5000000000000004,2.5,0.0,4.301162633521314,0
0.0,0.0,0.0,0.0,359.25,-7.06,96.56,0.37,0.88,0.25,0.09,0.17,0.32,0.3733630940518894,0.9868130522039116,0.4727325499358685,-0.2741674511196588,6.0,0.5000000000000004,1.999999999999999,6.344288770224759,0
0.0,0.0,0.0,0.0,359.31,-7.0,96.44,0.44,0.69,0.25,0.0,0.12,0.31,0.3324154027718932,0.8556868586112562,0.3693336576736256,-0.0,-4.5,-2.500000000000001,-0.5000000000000004,5.172040216394301,0
0.0,0.0,0.0,0.0,359.37,-7.0,96.37,0.44,0.62,0.13,0.08,0.11,0.38,0.4036087214122112,0.7712976079309465,0.2760332180870798,-0.2074962264352026,4.0,-0.4999999999999997,3.5000000000000004,5.338539126015656,0
0.0,0.0,0.0,0.0,359.44,-7.0,96.25,0.37,0.5,0.13,0.02,0.13,0.39,0.4115823125451335,0.6354525946126902,0.3213568017863722,-0.0512371674034188,-3.0,1.0000000000000002,0.5000000000000004,3.2015621187164243,0
0.0,0.0,0.0,0.0,359.5,-6.94,96.12,0.13,0.69,0.06,0.05,0.16,0.4,0.4337049688440288,0.7046985170979146,0.3778407430647423,-0.1243549945467614,1.5,1.5,0.5000000000000004,2.179449471770337,0
0.0,0.0,0.0,0.0,359.5,-7.0,96.0,0.13,0.75,0.06,0.04,0.12,0.45,0.4674398357008097,0.763544366752843,0.2596243712497767,-0.0886558818674374,-0.5000000000000001,-2.0000000000000004,2.5,3.24037034920393,0
0.0,0.0,0.0,0.0,359.56,-6.94,95.75,-0.06,0.56,0.0,0.06,0.12,0.46,0.4791659420284376,0.563205113613149,0.2531297139352681,-0.1297025371559121,0.9999999999999998,0.0,0.5000000000000004,1.118033988749895,0
0.0,0.0,0.0,0.0,359.56,-6.94,95.62,0.0,0.37,0.0,0.03,0.13,0.48,0.498196748283246,0.37,0.2639969338344674,-0.0624188099959573,-1.5,0.5000000000000004,0.999999999999998,1.8708286933869696,0
