absolute_orientation[0],absolute_orientation[1],absolute_orientation[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],linear_acceleration[0],linear_acceleration[1],linear_acceleration[2],acceleration_magnitude,angular_velocity_magnitude,pitch,roll,jerk[0],jerk[1],jerk[2],jerk_magnitude,fall
357.87,-7.0,99.12,-1.0,-7.44,-1.25,-0.11,0.28,-0.33,0.4465422712353221,7.610262807551392,0.6777479529618285,2.819842099193151,-2.5,2.0000000000000018,-21.500000000000004,21.73706511928416,0
357.5,-7.0,99.12,-0.5,-7.25,-1.12,0.06,0.17,-0.05,0.187082869338697,7.353019787815072,1.1401310701910212,-2.2655346029916,8.499999999999998,-5.500000000000001,14.000000000000002,17.277152543171,0
357.12,-7.0,99.12,-0.94,-8.5,-1.5,0.22,0.06,-0.18,0.290516780926679,8.682372947529956,0.2080256477275898,-2.256525837701183,8.0,-5.500000000000001,-6.5,11.683321445547923,0
356.69,-6.94,99.12,-0.81,-10.31,-1.87,0.0,0.0,0.01,0.01,10.509476675838812,0.0,-0.0,-11.0,-3.0,9.5,14.84082207965583,0
356.19,-6.94,99.06,-0.56,-10.44,-1.25,0.08,-0.17,0.11,0.2177154105707724,10.52946817270464,-0.8960026425810989,-0.628796286415433,4.0,-8.5,5.0,10.64189832689638,0
312.87,-6.69,98.69,-1.37,-8.13,-1.44,-0.1,0.12,-0.46,0.4857983120596448,8.369432477772913,0.2495997073036614,2.927531970025972,-9.0,14.500000000000002,-28.500000000000004,33.21897048374618,0
312.37,-6.75,98.81,-1.31,-8.44,-1.5,-0.07,0.15,-0.36,0.396232255123179,8.671776057994117,0.3882463329905292,2.949544636349063,1.5,1.5,5.000000000000002,5.4313902456001095,0
311.87,-6.75,98.94,-1.0,-9.13,-1.5,-0.13,0.09,-0.28,0.3215587038162705,9.306282823985097,0.2836760759345796,2.7069224384405484,-3.0,-3.0,3.999999999999998,5.830951894845299,0
311.37,-6.81,99.12,-1.0,-8.88,-1.5,-0.16,0.09,-0.49,0.5232590180780452,9.061147830159268,0.1728584986645902,2.825976991551027,-1.5,0.0,-10.499999999999998,10.606601717798211,0
310.94,-6.87,99.25,-0.62,-7.81,-1.37,0.02,0.06,-0.39,0.3950949253027682,7.953452080700555,0.152452092646566,-3.0903554861863745,9.0,-1.5,4.999999999999999,10.404326023342406,0
310.56,-6.87,99.31,-0.69,-7.0,-1.19,-0.14,0.09,-0.23,0.2839013913315678,7.133876926328348,0.3225767744461505,2.5948038127005457,-8.0,1.5,8.0,11.412712210513329,0
310.19,-6.94,99.31,-0.25,-5.94,-0.75,-0.06,0.0,-0.16,0.1708800749063506,5.992378492718897,0.0,2.782821983319221,4.000000000000001,-4.5,3.5000000000000004,6.9641941385920605,0
309.94,-6.94,99.31,-0.5,-4.25,-0.69,0.0,0.02,0.02,0.0282842712474619,4.33458187141505,0.7853981633974483,-0.0,3.0,1.0,9.0,9.539392014169456,0
309.75,-6.94,99.31,-0.31,-3.25,-0.37,-0.03,0.03,0.0,0.0424264068711928,3.285650620501212,0.7853981633974483,1.5707963267948966,-1.5,0.4999999999999999,-1.0,1.8708286933869709,0
309.62,-7.0,99.25,-0.25,-2.0,-0.25,-0.03,0.02,0.06,0.0699999999999999,2.03100960115899,0.2897517014360474,0.4636476090008061,0.0,-0.4999999999999999,3.0,3.0413812651491097,0
